Fri Feb 12 2021 23:49:53 GMT+0100 (GMT+01:00) | src: selectAllPatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:50:23 GMT+0100 (GMT+01:00) | src: selectAllPatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:52:33 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:55:18 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:55:22 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:55:25 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:55:49 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:55:54 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:56:34 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:56:35 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:57:29 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:57:30 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:57:31 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Fri Feb 12 2021 23:57:39 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:00:50 GMT+0100 (GMT+01:00) | src: insertOnePatient | msg: Insertion FAILED
Sat Feb 13 2021 00:02:04 GMT+0100 (GMT+01:00) | src: insertOnePatient | msg: Insertion FAILED
Sat Feb 13 2021 00:02:05 GMT+0100 (GMT+01:00) | src: insertOnePatient | msg: Insertion FAILED
Sat Feb 13 2021 00:02:37 GMT+0100 (GMT+01:00) | src: insertOnePatient | msg: Insertion FAILED
Sat Feb 13 2021 00:02:38 GMT+0100 (GMT+01:00) | src: insertOnePatient | msg: Insertion FAILED
Sat Feb 13 2021 00:03:46 GMT+0100 (GMT+01:00) | src: insertOnePatient | msg: Insertion FAILED
Sat Feb 13 2021 00:06:24 GMT+0100 (GMT+01:00) | src: insertOnePatient | msg: Insertion FAILED
Sat Feb 13 2021 00:09:44 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:09:54 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:10:20 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:10:21 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:10:22 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:10:22 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:10:22 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:10:38 GMT+0100 (GMT+01:00) | src: selectAllPatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:19:00 GMT+0100 (GMT+01:00) | src: selectAllPatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:19:11 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:19:20 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:19:30 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:20:01 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:20:02 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:29:54 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:29:56 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:29:57 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:30:25 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:30:35 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:30:42 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:30:46 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:30:51 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:30:54 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
Sat Feb 13 2021 00:35:52 GMT+0100 (GMT+01:00) | src: selectOnePatient | msg: Selection SUCCESS
